"SOURCE","N"
"Rheinische Post",590
"General-Anzeiger Bonn",354
"Aachener Zeitung",341
"Aachener Nachrichten",337
"Frankfurter Rundschau",266
"WELT ONLINE (Deutsch)",253
"Kölnische Rundschau",248
"Kölner Stadt-Anzeiger",230
"Der Tagesspiegel",218
"Neue Zürcher Zeitung (Internationale Ausgabe) & NZZ am Sonntag",207
"Die Welt",207
"Frankfurter Neue Presse (Regionalausgaben)",182
"Die Presse",179
"Berliner Zeitung",172
"Die Welt am Sonntag",153
"Nürnberger Nachrichten",137
"Allgemeine Zeitung",118
"Mitteldeutsche Zeitung",114
"Nordwest-Zeitung",109
"Wiesbadener Kurier",105
"Der Standard",104
"SDA - Basisdienst Deutsch",100
"Sächsische Zeitung Regionalausgaben",95
"Stern",88
"Die ZEIT (inklusive ZEIT Magazin)",87
"Lampertheimer Zeitung",87
"Bergische Morgenpost",85
"taz, die tageszeitung",83
"Kleine Zeitung",80
"Kronen Zeitung",78
"BÃ¼rstÃ¤dter Zeitung",77
"Main-Spitze",77
"Solinger Morgenpost",76
"Nürnberger Zeitung",75
"Idsteiner Zeitung",74
"Wormser Zeitung",74
"Rheinische Post Online",68
"DER SPIEGEL (online)",67
"Gießener Anzeiger",67
"Südwest Presse",67
"Main-Taunus-Kurier",65
"Wiesbadener Tagblatt",65
"dpa StarLine People, Society, Kino Etc.",64
"Neuss-Grevenbroicher Zeitung",63
"Spaactor",63
"Bunte",61
"Aar Bote",61
"Bilanz.de",60
"Appenzeller Zeitung",57
"St.Galler Tagblatt (Stammausgabe)",57
"Tages-Anzeiger",56
"Starkenburger Echo",54
"Die Welt Hamburg",52
"Tagblatt für den Kanton Thurgau",51
"Groß-Gerauer Echo",49
"Odenwälder Echo",49
"Kurier",49
"Toggenburger Tagblatt",48
"dpa RegioLine",48
"Darmstädter Echo",48
"Agence France Presse - German",47
"Jüdische Allgemeine",47
"Passauer Neue Presse (Stadt und Landkreis Passau)",47
"WebNews - German",44
"FOCUS - Das Nachrichtenmagazin",43
"Frankfurter Neue Presse (Stadtausgabe)",43
"Usinger Anzeiger",39
"BILD Regionalausgaben",37
"Welt kompakt",36
"OO Nachrichten",35
"Kölner Express",34
"DER SPIEGEL (print)",33
"Salzburger Nachrichten",32
"Wetterauer Zeitung",32
"B. Z.",31
"Sächsische Zeitung Stammausgabe Dresden",31
"Nidwaldner Zeitung",29
"Obwaldner Zeitung",29
"Tiroler Tageszeitung und TT am Sonntag",29
"Lauterbacher Anzeiger (Germany)",28
"St.Galler Tagblatt (Rorschach)",28
